algorithm,seed,n,solution_found,solution,nodes_explored,time_taken,valid_solution
backtrack,0,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0014209747314453125,True
backtrack,1,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0014753341674804688,True
backtrack,2,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0020837783813476562,True
backtrack,3,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0027256011962890625,True
backtrack,4,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.001544952392578125,True
backtrack,5,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0016880035400390625,True
backtrack,6,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0016050338745117188,True
backtrack,7,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.001795053482055664,True
backtrack,8,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.001558542251586914,True
backtrack,9,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0015759468078613281,True
backtrack,10,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0026276111602783203,True
backtrack,11,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.003274202346801758,True
backtrack,12,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0016655921936035156,True
backtrack,13,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0017659664154052734,True
backtrack,14,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0013761520385742188,True
backtrack,15,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0014388561248779297,True
backtrack,16,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0014505386352539062,True
backtrack,17,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0014805793762207031,True
backtrack,18,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.002247333526611328,True
backtrack,19,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0022284984588623047,True
backtrack,20,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.005316734313964844,True
backtrack,21,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0014393329620361328,True
backtrack,22,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0013954639434814453,True
backtrack,23,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0014982223510742188,True
backtrack,24,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.004067182540893555,True
backtrack,25,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0019555091857910156,True
backtrack,26,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0024480819702148438,True
backtrack,27,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0018923282623291016,True
backtrack,28,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.001856088638305664,True
backtrack,29,10,True,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",103,0.0015592575073242188,True
forward_checking,0,4,True,"[1, 3, 0, 2]",7,0.00014853477478027344,True
forward_checking,1,4,True,"[1, 3, 0, 2]",7,5.2928924560546875e-05,True
forward_checking,2,4,True,"[1, 3, 0, 2]",7,0.00011110305786132812,True
forward_checking,3,4,True,"[1, 3, 0, 2]",7,0.00010967254638671875,True
forward_checking,4,4,True,"[1, 3, 0, 2]",7,0.00010943412780761719,True
forward_checking,5,4,True,"[1, 3, 0, 2]",7,0.00010919570922851562,True
forward_checking,6,4,True,"[1, 3, 0, 2]",7,0.00010895729064941406,True
forward_checking,7,4,True,"[1, 3, 0, 2]",7,0.00010824203491210938,True
forward_checking,8,4,True,"[1, 3, 0, 2]",7,0.00012302398681640625,True
forward_checking,9,4,True,"[1, 3, 0, 2]",7,0.0001087188720703125,True
forward_checking,10,4,True,"[1, 3, 0, 2]",7,0.00010085105895996094,True
forward_checking,11,4,True,"[1, 3, 0, 2]",7,0.000102996826171875,True
forward_checking,12,4,True,"[1, 3, 0, 2]",7,8.177757263183594e-05,True
forward_checking,13,4,True,"[1, 3, 0, 2]",7,0.00011730194091796875,True
forward_checking,14,4,True,"[1, 3, 0, 2]",7,0.0005266666412353516,True
forward_checking,15,4,True,"[1, 3, 0, 2]",7,0.0001709461212158203,True
forward_checking,16,4,True,"[1, 3, 0, 2]",7,0.00011968612670898438,True
