agent_name,size,dirt_rate,seed,repetition,initial_dirt,final_dirt,cells_cleaned,actions_taken,performance,success,is_finished,runtime_sec,recording
simple_reflex,2x2,0.4,111,1,0,0,0,1,-0.01,True,True,0.31,game_2025-08-25_17-42-48_julianfernandezrandomagent.json
random,2x2,0.4,222,1,0,0,0,76,-0.76,True,True,0.791,game_2025-08-25_17-42-48_julianfernandezrandomagent.json
simple_reflex,2x2,0.4,222,1,0,0,0,1,-0.01,True,True,0.309,game_2025-08-25_17-42-49_julianfernandezrandomagent.json
random,2x2,0.4,333,1,0,0,0,21,-0.21,True,True,0.459,game_2025-08-25_17-42-49_julianfernandezrandomagent.json
simple_reflex,2x2,0.4,333,1,0,0,0,4,-0.04,True,True,0.329,game_2025-08-25_17-42-49_julianfernandezrandomagent.json
random,2x2,0.4,444,1,0,0,0,10,-0.1,True,True,0.389,game_2025-08-25_17-42-50_julianfernandezrandomagent.json
simple_reflex,2x2,0.4,444,1,0,0,0,2,-0.02,True,True,0.316,game_2025-08-25_17-42-50_julianfernandezrandomagent.json
random,2x2,0.4,555,1,0,0,0,3,-0.03,True,True,0.323,game_2025-08-25_17-42-50_julianfernandezrandomagent.json
simple_reflex,2x2,0.4,555,1,0,0,0,1,-0.01,True,True,0.31,game_2025-08-25_17-42-51_julianfernandezrandomagent.json
random,2x2,0.4,666,1,0,0,0,15,-0.15,True,True,0.401,game_2025-08-25_17-42-51_julianfernandezrandomagent.json
simple_reflex,2x2,0.4,666,1,0,0,0,1,-0.01,True,True,0.31,game_2025-08-25_17-42-51_julianfernandezrandomagent.json
random,2x2,0.4,777,1,0,0,0,3,-0.03,True,True,0.323,game_2025-08-25_17-42-52_julianfernandezrandomagent.json
simple_reflex,2x2,0.4,777,1,0,0,0,1,-0.01,True,True,0.309,game_2025-08-25_17-42-52_julianfernandezrandomagent.json
random,2x2,0.4,888,1,0,0,0,30,-0.3,True,True,0.494,game_2025-08-25_17-42-53_julianfernandezrandomagent.json
simple_reflex,2x2,0.4,888,1,0,0,0,19,-0.19,True,True,0.427,game_2025-08-25_17-42-53_julianfernandezrandomagent.json
random,2x2,0.4,999,1,0,0,0,32,-0.32,True,True,0.513,game_2025-08-25_17-42-54_julianfernandezrandomagent.json
simple_reflex,2x2,0.4,999,1,0,0,0,5,-0.05,True,True,0.354,game_2025-08-25_17-42-54_julianfernandezrandomagent.json
random,2x2,0.4,0,1,0,0,0,40,-0.4,True,True,0.559,game_2025-08-25_17-42-54_julianfernandezrandomagent.json
simple_reflex,2x2,0.4,0,1,0,0,0,1,-0.01,True,True,0.312,game_2025-08-25_17-42-55_julianfernandezrandomagent.json
random,2x2,0.8,111,1,0,0,0,36,-0.36,True,True,0.532,game_2025-08-25_17-42-55_julianfernandezrandomagent.json
