algorithm_name,env_n,size,best_solution,H,states,time
SA,18,4,"[2, 0, 3, 1]",0,28,9.250640869140625e-05
SA,19,4,"[2, 0, 3, 1]",0,45,0.00014591217041015625
SA,20,4,"[2, 0, 3, 1]",0,1,5.4836273193359375e-06
SA,21,4,"[2, 0, 3, 1]",0,5,1.8358230590820312e-05
SA,22,4,"[1, 3, 0, 2]",0,6,2.1457672119140625e-05
SA,23,4,"[1, 3, 0, 2]",0,1,5.245208740234375e-06
SA,24,4,"[1, 3, 0, 2]",0,226,0.0007355213165283203
SA,25,4,"[2, 0, 3, 1]",0,157,0.0005087852478027344
SA,26,4,"[2, 0, 3, 1]",0,59,0.00019693374633789062
SA,27,4,"[2, 0, 3, 1]",0,168,0.0005407333374023438
SA,28,4,"[1, 3, 0, 2]",0,15,5.14984130859375e-05
SA,29,4,"[2, 0, 3, 1]",0,140,0.00045180320739746094
GA,0,4,"[2, 0, 3, 1]",0,120,0.0004725456237792969
GA,1,4,"[2, 0, 3, 1]",0,120,0.00046062469482421875
GA,2,4,"[1, 3, 0, 2]",0,120,0.00045299530029296875
GA,3,4,"[2, 0, 3, 1]",0,120,0.00045871734619140625
GA,4,4,"[2, 0, 3, 1]",0,120,0.0004527568817138672
GA,5,4,"[1, 3, 0, 2]",0,120,0.00045752525329589844
GA,6,4,"[1, 3, 0, 2]",0,120,0.0004532337188720703
GA,7,4,"[1, 3, 0, 2]",0,120,0.0004520416259765625
GA,8,4,"[2, 0, 3, 1]",0,120,0.0004515647888183594
GA,9,4,"[1, 3, 0, 2]",0,120,0.0004546642303466797
GA,10,4,"[1, 3, 0, 2]",0,120,0.0004570484161376953
GA,11,4,"[1, 3, 0, 2]",0,120,0.0004508495330810547
GA,12,4,"[2, 0, 3, 1]",0,120,0.000453948974609375
GA,13,4,"[1, 3, 0, 2]",0,120,0.00044918060302734375
GA,14,4,"[1, 3, 0, 2]",0,120,0.00045990943908691406
GA,15,4,"[1, 3, 0, 2]",0,120,0.00045180320739746094
GA,16,4,"[1, 3, 0, 2]",0,120,0.0004703998565673828
GA,17,4,"[2, 0, 3, 1]",0,120,0.0004515647888183594
GA,18,4,"[1, 3, 0, 2]",0,120,0.0005321502685546875
GA,19,4,"[2, 0, 3, 1]",0,120,0.0004506111145019531
GA,20,4,"[2, 0, 3, 1]",0,120,0.00045990943908691406
GA,21,4,"[1, 3, 0, 2]",0,120,0.0004525184631347656
GA,22,4,"[1, 3, 0, 2]",0,120,0.00045371055603027344
GA,23,4,"[1, 3, 0, 2]",0,120,0.00045013427734375
GA,24,4,"[1, 3, 0, 2]",0,120,0.0004558563232421875
GA,25,4,"[1, 3, 0, 2]",0,120,0.0004496574401855469
GA,26,4,"[2, 0, 3, 1]",0,120,0.00045371055603027344
GA,27,4,"[1, 3, 0, 2]",0,120,0.0004487037658691406
GA,28,4,"[2, 0, 3, 1]",0,120,0.0004470348358154297
GA,29,4,"[2, 0, 3, 1]",0,120,0.00045037269592285156
random,0,8,"[3, 6, 3, 7, 4, 1, 5, 2]",1,20000,0.12375521659851074
