algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found,scenario
BFS,30,3717,47,47,0.0051310062408447266,True,scenario1
DFS,30,7896,119,119,0.017570018768310547,True,scenario1
DLS50,30,1445,0,0,0.0026197433471679688,False,scenario1
DLS75,30,2566,0,0,0.00401616096496582,False,scenario1
DLS100,30,3112,0,0,0.005340576171875,False,scenario1
UCS,30,3712,47,47,0.0093231201171875,True,scenario1
A*,30,3712,47,47,0.009089231491088867,True,scenario1
RANDOM,30,402,0,0,0.0016744136810302734,False,scenario2
BFS,30,3717,47,119,0.005077362060546875,True,scenario2
DFS,30,7896,119,785,0.016943693161010742,True,scenario2
DLS50,30,1445,0,0,0.002668619155883789,False,scenario2
DLS75,30,2566,0,0,0.00406646728515625,False,scenario2
DLS100,30,3112,0,0,0.0054285526275634766,False,scenario2
UCS,30,1739,47,119,0.004317760467529297,True,scenario2
A*,30,218,47,119,0.0006015300750732422,True,scenario2
