algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found,scenario
DLS100,6,1039,0,0,0.0016987323760986328,False,scenario2
UCS,6,4464,85,292,0.012535810470581055,True,scenario2
A*,6,1175,85,292,0.003149747848510742,True,scenario2
RANDOM,7,358,0,0,0.0015552043914794922,False,scenario1
BFS,7,2108,34,34,0.0027484893798828125,True,scenario1
DFS,7,9039,216,216,0.02060222625732422,True,scenario1
DLS50,7,1223,0,0,0.0019383430480957031,False,scenario1
DLS75,7,2038,0,0,0.0037221908569335938,False,scenario1
DLS100,7,2234,78,78,0.003682851791381836,True,scenario1
UCS,7,2122,34,34,0.005243062973022461,True,scenario1
A*,7,2122,34,34,0.0051021575927734375,True,scenario1
RANDOM,7,366,0,0,0.0016548633575439453,False,scenario2
BFS,7,2108,34,151,0.002810955047607422,True,scenario2
DFS,7,9039,216,1305,0.021662473678588867,True,scenario2
DLS50,7,1223,0,0,0.00196075439453125,False,scenario2
DLS75,7,2038,0,0,0.003841400146484375,False,scenario2
DLS100,7,2234,78,483,0.0036983489990234375,True,scenario2
UCS,7,2316,34,151,0.006298542022705078,True,scenario2
A*,7,288,34,151,0.0007581710815429688,True,scenario2
RANDOM,8,338,0,0,0.0016446113586425781,False,scenario1
BFS,8,5842,89,89,0.008557319641113281,True,scenario1
DFS,8,4981,331,331,0.011806011199951172,True,scenario1
DLS50,8,1327,0,0,0.0022554397583007812,False,scenario1
DLS75,8,1882,0,0,0.0031685829162597656,False,scenario1
DLS100,8,2531,0,0,0.0042345523834228516,False,scenario1
UCS,8,5842,89,89,0.018285751342773438,True,scenario1
A*,8,5842,89,89,0.017638206481933594,True,scenario1
RANDOM,8,230,0,0,0.0016055107116699219,False,scenario2
BFS,8,5842,89,431,0.008881092071533203,True,scenario2
DFS,8,4981,331,1915,0.011780977249145508,True,scenario2
DLS50,8,1327,0,0,0.0022885799407958984,False,scenario2
DLS75,8,1882,0,0,0.003103017807006836,False,scenario2
DLS100,8,2531,0,0,0.004240751266479492,False,scenario2
UCS,8,7027,89,431,0.027929306030273438,True,scenario2
A*,8,1612,89,431,0.005884647369384766,True,scenario2
RANDOM,9,200,0,0,0.0016930103302001953,False,scenario1
BFS,9,2372,63,63,0.003220081329345703,True,scenario1
DFS,9,6400,131,131,0.01500248908996582,True,scenario1
DLS50,9,407,0,0,0.0006992816925048828,False,scenario1
DLS75,9,640,0,0,0.0010344982147216797,False,scenario1
DLS100,9,863,0,0,0.0013556480407714844,False,scenario1
UCS,9,2382,63,63,0.00579071044921875,True,scenario1
A*,9,2382,63,63,0.0053708553314208984,True,scenario1
RANDOM,9,274,0,0,0.0015535354614257812,False,scenario2
BFS,9,2372,63,117,0.003133058547973633,True,scenario2
DFS,9,6400,131,761,0.014545679092407227,True,scenario2
DLS50,9,407,0,0,0.0006873607635498047,False,scenario2
DLS75,9,640,0,0,0.0009984970092773438,False,scenario2
DLS100,9,863,0,0,0.0013794898986816406,False,scenario2
UCS,9,875,63,117,0.0021696090698242188,True,scenario2
A*,9,285,63,117,0.0007808208465576172,True,scenario2
RANDOM,10,277,0,0,0.0016608238220214844,False,scenario1
BFS,10,8789,136,136,0.013327360153198242,True,scenario1
DFS,10,832,200,200,0.0014028549194335938,True,scenario1
DLS50,10,1265,0,0,0.0018799304962158203,False,scenario1
DLS75,10,2085,0,0,0.003340005874633789,False,scenario1
DLS100,10,4158,0,0,0.006924867630004883,False,scenario1
UCS,10,8789,136,136,0.025667905807495117,True,scenario1
A*,10,8789,136,136,0.02658390998840332,True,scenario1
RANDOM,10,360,0,0,0.001863718032836914,False,scenario2
BFS,10,8789,136,865,0.013816356658935547,True,scenario2
DFS,10,832,200,1289,0.0015130043029785156,True,scenario2
DLS50,10,1265,0,0,0.001985788345336914,False,scenario2
DLS75,10,2085,0,0,0.0036306381225585938,False,scenario2
DLS100,10,4158,0,0,0.007173776626586914,False,scenario2
UCS,10,7902,136,865,0.024166584014892578,True,scenario2
A*,10,3869,136,865,0.013070106506347656,True,scenario2
RANDOM,11,346,0,0,0.0016453266143798828,False,scenario1
BFS,11,4885,76,76,0.007004737854003906,True,scenario1
DFS,11,1365,182,182,0.0025599002838134766,True,scenario1
DLS50,11,1033,0,0,0.0016465187072753906,False,scenario1
DLS75,11,1620,0,0,0.0025513172149658203,False,scenario1
DLS100,11,1411,0,0,0.0022826194763183594,False,scenario1
UCS,11,4885,76,76,0.012438297271728516,True,scenario1
A*,11,4885,76,76,0.012236595153808594,True,scenario1
RANDOM,11,238,0,0,0.0017096996307373047,False,scenario2
BFS,11,4885,76,130,0.007099628448486328,True,scenario2
DFS,11,1365,182,830,0.002597332000732422,True,scenario2
DLS50,11,1033,0,0,0.0016868114471435547,False,scenario2
DLS75,11,1620,0,0,0.0026149749755859375,False,scenario2
DLS100,11,1411,0,0,0.002384662628173828,False,scenario2
UCS,11,1511,76,130,0.0038802623748779297,True,scenario2
A*,11,374,76,130,0.0010762214660644531,True,scenario2
RANDOM,12,242,0,0,0.001714944839477539,False,scenario1
BFS,12,4218,87,87,0.0059430599212646484,True,scenario1
DFS,12,2475,195,195,0.004883289337158203,True,scenario1
DLS50,12,647,0,0,0.0010242462158203125,False,scenario1
DLS75,12,1247,0,0,0.0019497871398925781,False,scenario1
DLS100,12,2250,0,0,0.003919124603271484,False,scenario1
UCS,12,4218,87,87,0.010852336883544922,True,scenario1
A*,12,4218,87,87,0.010294675827026367,True,scenario1
RANDOM,12,212,0,0,0.0016338825225830078,False,scenario2
BFS,12,4218,87,330,0.005898475646972656,True,scenario2
DFS,12,2475,195,780,0.004807472229003906,True,scenario2
DLS50,12,647,0,0,0.001056671142578125,False,scenario2
DLS75,12,1247,0,0,0.0020525455474853516,False,scenario2
DLS100,12,2250,0,0,0.004029989242553711,False,scenario2
UCS,12,2953,87,330,0.0074808597564697266,True,scenario2
A*,12,1433,87,330,0.004048585891723633,True,scenario2
RANDOM,13,324,0,0,0.0016472339630126953,False,scenario1
BFS,13,4789,83,83,0.00687861442565918,True,scenario1
DFS,13,5852,479,479,0.01390838623046875,True,scenario1
