metric,mean,sd
auc,0.43514669704801606,0.10467906463522611
accuracy,0.8870694566721553,0.007115964346177709
sensitivity,0.008852789050688311,0.015452566901695013
specificity,0.997874834734329,0.003480681460887909
precision,0.3444320349946484,0.09289555186431818
